================================================================================
PORTAL FLOOD ATTACK REPORT
================================================================================

Target URL: http://10.0.0.1/client?page=dashboard
Test Date: 2026-02-05 23:29:30
Duration: 120.09 seconds

📊 STATISTICS:
----------------------------------------
Total Requests: 8063
Successful: 36
Failed: 8027
Success Rate: 0.45%

Requests per Second: 67.14
Average Response Time: 1955.27 ms

📝 SAMPLE REQUESTS (First 50):
----------------------------------------
User 00209392: SUCCESS (189.9 ms)
User 00721540: SUCCESS (162.9 ms)
User 00059821: SUCCESS (230.8 ms)
User 00568626: SUCCESS (262.1 ms)
User 00572608: SUCCESS (211.1 ms)
User 00114438: SUCCESS (228.0 ms)
User 00880966: SUCCESS (221.1 ms)
User 00875326: SUCCESS (213.0 ms)
User 00207242: SUCCESS (205.9 ms)
User 00545349: SUCCESS (247.6 ms)
User 00136542: FAILED (503) (233.5 ms)
User 00639004: FAILED (503) (205.9 ms)
User 00199768: FAILED (503) (181.9 ms)
User 00388504: FAILED (503) (232.4 ms)
User 00737997: FAILED (503) (186.7 ms)
User 00704309: SUCCESS (421.2 ms)
User 00847516: FAILED (503) (191.4 ms)
User 00452452: FAILED (503) (70.4 ms)
User 00769224: FAILED (503) (119.5 ms)
User 00688433: FAILED (503) (192.9 ms)
User 00206826: FAILED (503) (98.1 ms)
User 00564396: FAILED (503) (225.5 ms)
User 00566428: FAILED (503) (131.8 ms)
User 00421854: FAILED (503) (42.4 ms)
User 00827909: FAILED (503) (62.7 ms)
User 00910694: FAILED (503) (85.5 ms)
User 00087962: FAILED (503) (151.8 ms)
User 00396322: FAILED (503) (169.2 ms)
User 00675064: FAILED (503) (58.1 ms)
User 00084126: FAILED (503) (48.0 ms)
User 00182143: FAILED (503) (47.4 ms)
User 00880036: FAILED (503) (42.2 ms)
User 00128277: FAILED (503) (115.7 ms)
User 00572030: FAILED (503) (116.0 ms)
User 00049514: FAILED (503) (241.4 ms)
User 00780304: FAILED (503) (246.5 ms)
User 00049469: FAILED (503) (303.1 ms)
User 00094959: SUCCESS (728.3 ms)
User 00900251: FAILED (503) (390.5 ms)
User 00353534: FAILED (503) (393.9 ms)
User 00942559: FAILED (503) (401.4 ms)
User 00686255: FAILED (503) (397.9 ms)
User 00842233: FAILED (503) (406.7 ms)
User 00576008: FAILED (503) (419.4 ms)
User 00738886: FAILED (503) (429.2 ms)
User 00797085: FAILED (503) (429.4 ms)
User 00778746: FAILED (503) (479.3 ms)
User 00561208: SUCCESS (954.8 ms)
User 00831234: FAILED (503) (515.7 ms)
User 00851776: FAILED (503) (513.0 ms)
